constraint_id,constraint_name,origin,scope,constraint_type,asset_class,sub_class,issuer,threshold_pct,denominator,hard_constraint,testable,data_required,missing_data,implementation_status,comment
COVERAGE_GLOBAL,Couverture globale des provisions techniques,LEGAL_REGULATORY,portefeuille_total,min,all_assets,,,1.0,technical_provisions,True,True,,,CHECKED_POST_OPTIMIZATION,
STATE_MIN_20_PT,Titres émis ou garantis par l'État >= 20% PT,LEGAL_REGULATORY,portefeuille_total,min,government_bond,,,0.2,technical_provisions,True,True,,,CHECKED_POST_OPTIMIZATION,
LISTED_EQUITY_PER_COMPANY_MAX_10_PT,Action cotée BVMT par société <= 10% PT,LEGAL_REGULATORY,portefeuille_total,max,listed_equity_per_company,,,0.1,technical_provisions,True,True,,,CHECKED_POST_OPTIMIZATION,
REAL_ESTATE_TOTAL_MAX_20_PT,Immobilier total <= 20% PT,LEGAL_REGULATORY,portefeuille_total,max,real_estate,,,0.2,technical_provisions,True,True,,,CHECKED_POST_OPTIMIZATION,
SICAR_TOTAL_MAX_10_PT,SICAR/SICAF total <= 10% PT,LEGAL_REGULATORY,portefeuille_total,max,sicar_total,,,0.1,technical_provisions,True,True,,,CHECKED_POST_OPTIMIZATION,
CAPITAL_SOCIAL_LIMITS,Limites en pourcentage du capital social,UNTESTED_MISSING_DATA,portefeuille_total,max,issuer,,,,capital_social,True,False,,data_missing,CHECK_NOT_ENFORCED_MISSING_DATA,
OPCVM_ENTITY_LIMITS,OPCVM par entité,UNTESTED_MISSING_DATA,portefeuille_total,max,fund_per_entity,,,,technical_provisions,True,False,,data_missing,CHECK_NOT_ENFORCED_MISSING_DATA,
SICAR_ENTITY_LIMITS,SICAR/SICAF par société,UNTESTED_MISSING_DATA,portefeuille_total,max,sicar_per_company,,,,technical_provisions,True,False,,data_missing,CHECK_NOT_ENFORCED_MISSING_DATA,
OTHER_SECURITIES_LIMITS,Autres valeurs mobilières,UNTESTED_MISSING_DATA,portefeuille_total,max,other_securities,,,,technical_provisions,True,False,,data_missing,CHECK_NOT_ENFORCED_MISSING_DATA,
BUDGET,Somme des poids optimisables = 1,INTERNAL_GOVERNANCE,poche_optimisable,internal_limit,,,,,optimisable_pocket,True,True,portfolio_weights,,INTERNAL_LIMIT,"Limite interne de gouvernance, non assimilée à une contrainte réglementaire."
NO_SHORT_SELLING,Poids négatifs interdits,INTERNAL_GOVERNANCE,poche_optimisable,internal_limit,,,,,optimisable_pocket,True,True,portfolio_weights,,INTERNAL_LIMIT,"Limite interne de gouvernance, non assimilée à une contrainte réglementaire."
MAX_WEIGHT_PER_ASSET,Poids maximal par actif,INTERNAL_GOVERNANCE,poche_optimisable,internal_limit,,,,,optimisable_pocket,True,True,portfolio_weights,,INTERNAL_LIMIT,"Limite interne de gouvernance, non assimilée à une contrainte réglementaire."
MAX_WEIGHT_PER_ISSUER,Poids maximal par émetteur,INTERNAL_GOVERNANCE,poche_optimisable,internal_limit,,,,,optimisable_pocket,True,True,portfolio_weights,,INTERNAL_LIMIT,"Limite interne de gouvernance, non assimilée à une contrainte réglementaire."
MAX_EQUITY_WEIGHT,Poids actions maximal dans la poche optimisable,INTERNAL_GOVERNANCE,poche_optimisable,internal_limit,,,,,optimisable_pocket,True,True,portfolio_weights,,INTERNAL_LIMIT,"Limite interne de gouvernance, non assimilée à une contrainte réglementaire."
MAX_CORPORATE_WEIGHT,Poids corporate maximal dans la poche optimisable,INTERNAL_GOVERNANCE,poche_optimisable,internal_limit,,,,,optimisable_pocket,True,True,portfolio_weights,,INTERNAL_LIMIT,"Limite interne de gouvernance, non assimilée à une contrainte réglementaire."
TURNOVER_LIMIT,Turnover maximal de gouvernance,INTERNAL_GOVERNANCE,poche_optimisable,internal_limit,,,,,optimisable_pocket,True,True,portfolio_weights,,INTERNAL_LIMIT,"Limite interne de gouvernance, non assimilée à une contrainte réglementaire."
